TPS_Auto_0434,    2.6456,    6.1457,  0.0155,10:36:9.130
TPS_Auto_0435,    2.7272,    6.1089,  0.0034,10:36:9.340
TPS_Auto_0436,    2.8066,    6.0849, -0.0026,10:36:9.540
TPS_Auto_0437,    2.9062,    6.0680, -0.0081,10:36:9.740
TPS_Auto_0438,    2.9521,    6.0624, -0.0086,10:36:9.850
TPS_Auto_0439,    3.0334,    6.0513,  0.0076,10:36:10.070
TPS_Auto_0440,    3.0767,    6.0361,  0.0231,10:36:10.190
TPS_Auto_0441,    3.1118,    6.0101,  0.0397,10:36:10.340
TPS_Auto_0442,    3.1302,    5.9664,  0.0708,10:36:10.540
TPS_Auto_0443,    3.1252,    5.9358,  0.1035,10:36:10.740
TPS_Auto_0444,    2.5744,    5.9551, -1.0491,10:41:46.420
TPS_Auto_0445,    2.5744,    5.9550, -1.0494,10:41:47.570
TPS_Auto_0446,    2.5744,    5.9551, -1.0494,10:41:47.700
TPS_Auto_0447,    2.5744,    5.9551, -1.0494,10:41:47.900
TPS_Auto_0448,    2.5748,    5.9549, -1.0496,10:41:48.080
TPS_Auto_0449,    2.5754,    5.9503, -1.0489,10:41:48.200
TPS_Auto_0450,    2.5775,    5.9494, -1.0488,10:41:48.360
TPS_Auto_0451,    2.5837,    5.9345, -0.9776,10:41:48.800
TPS_Auto_0452,    2.6110,    5.9414, -0.7410,10:41:48.990
TPS_Auto_0453,    2.6135,    5.9394, -0.7039,10:41:49.190
TPS_Auto_0454,    2.6291,    5.9484, -0.5417,10:41:49.370
TPS_Auto_0455,    2.6376,    5.9593, -0.4291,10:41:49.560
TPS_Auto_0456,    2.6405,    5.9735, -0.3218,10:41:49.760
TPS_Auto_0457,    2.6442,    5.9844, -0.2421,10:41:49.950
TPS_Auto_0458,    2.6477,    6.0108, -0.1073,10:41:50.130
TPS_Auto_0459,    2.6660,    6.0518,  0.0093,10:41:50.360
TPS_Auto_0460,    2.6810,    6.0789,  0.0479,10:41:50.550
TPS_Auto_0461,    2.6694,    6.1079,  0.1287,10:41:50.760
TPS_Auto_0462,    2.3980,    6.0452,  0.2430,10:41:51.070
TPS_Auto_0463,    2.3333,    6.0328,  0.2458,10:41:51.240
TPS_Auto_0464,    2.2344,    6.0233,  0.2437,10:41:51.420
TPS_Auto_0465,    2.0959,    6.0095,  0.2378,10:41:51.610
TPS_Auto_0466,    2.0601,    6.0040,  0.2359,10:41:51.810
TPS_Auto_0467,    1.9156,    6.0112,  0.2233,10:41:52.000
TPS_Auto_0468,    1.8148,    6.0159,  0.2038,10:41:52.230
TPS_Auto_0469,    1.7066,    6.0247,  0.1669,10:41:52.430
TPS_Auto_0470,    1.6012,    6.0557,  0.0411,10:41:52.630
TPS_Auto_0471,    2.0219,    5.9903, -0.0915,10:41:53.220
TPS_Auto_0472,    2.1806,    5.9800, -0.1000,10:41:53.400
TPS_Auto_0473,    2.2940,    5.9878, -0.1020,10:41:53.590
TPS_Auto_0474,    2.5041,    6.0096, -0.0842,10:41:53.790
TPS_Auto_0475,    2.6890,    6.0413, -0.0542,10:41:54.020
TPS_Auto_0476,    2.8066,    6.0794, -0.0273,10:41:54.260
TPS_Auto_0477,    2.8911,    6.1260,  0.0118,10:41:54.450
TPS_Auto_0478,    2.9248,    6.1595,  0.0682,10:41:54.640
TPS_Auto_0479,    2.3148,    6.0738,  0.2569,10:41:55.260
TPS_Auto_0480,    2.1256,    6.1058,  0.2474,10:41:55.460
TPS_Auto_0481,    1.7527,    6.1396,  0.1641,10:41:55.650
TPS_Auto_0482,    1.6042,    6.2286,  0.0459,10:41:55.870
TPS_Auto_0483,    2.3365,    5.9933, -1.1115,10:51:50.640
TPS_Auto_0484,    2.3365,    5.9933, -1.1115,10:51:50.810
TPS_Auto_0485,    2.3365,    5.9933, -1.1118,10:51:51.840
TPS_Auto_0486,    2.3365,    5.9933, -1.1118,10:51:51.960
TPS_Auto_0487,    2.3366,    5.9933, -1.1118,10:51:52.160
TPS_Auto_0488,    2.3365,    5.9933, -1.1118,10:51:52.260
TPS_Auto_0489,    2.3365,    5.9933, -1.1118,10:51:52.370
TPS_Auto_0490,    2.3365,    5.9933, -1.1118,10:51:52.570
TPS_Auto_0491,    2.3365,    5.9933, -1.1118,10:51:52.770
TPS_Auto_0492,    2.3365,    5.9933, -1.1118,10:51:52.970
TPS_Auto_0493,    2.3365,    5.9933, -1.1118,10:51:53.180
TPS_Auto_0494,    2.3365,    5.9933, -1.1118,10:51:53.380
TPS_Auto_0495,    2.3367,    5.9953, -1.1122,10:51:53.590
TPS_Auto_0496,    2.3355,    5.9926, -1.1117,10:51:53.700
TPS_Auto_0497,    2.3325,    5.9879, -1.0224,10:51:54.240
TPS_Auto_0498,    2.3256,    5.9836, -0.9992,10:51:54.340
TPS_Auto_0499,    2.3140,    5.9821, -0.9700,10:51:54.450
TPS_Auto_0500,    2.3003,    5.9754, -0.9295,10:51:54.650
TPS_Auto_0501,    2.2946,    5.9759, -0.9050,10:51:54.770
TPS_Auto_0502,    2.2781,    5.9715, -0.8458,10:51:54.940
TPS_Auto_0503,    2.2651,    5.9637, -0.8131,10:51:55.060
TPS_Auto_0504,    2.2463,    5.9543, -0.7414,10:51:55.270
TPS_Auto_0505,    2.2340,    5.9478, -0.6627,10:51:55.470
TPS_Auto_0506,    2.2247,    5.9472, -0.5681,10:51:55.670
TPS_Auto_0507,    2.2218,    5.9523, -0.4724,10:51:55.880
TPS_Auto_0508,    2.2267,    5.9571, -0.3799,10:51:56.080
TPS_Auto_0509,    2.2428,    5.9582, -0.2688,10:51:56.280
TPS_Auto_0510,    2.2627,    5.9612, -0.1890,10:51:56.490
TPS_Auto_0511,    2.2825,    5.9639, -0.1239,10:51:56.690
TPS_Auto_0512,    2.2951,    5.9675, -0.0681,10:51:56.890
TPS_Auto_0513,    2.2934,    5.9674, -0.0245,10:51:57.100
TPS_Auto_0514,    2.2761,    5.9762,  0.0169,10:51:57.390
TPS_Auto_0515,    2.1781,    5.9636,  0.0408,10:51:57.590
TPS_Auto_0516,    2.0920,    5.9551,  0.0374,10:51:57.830
TPS_Auto_0517,    1.9843,    5.9550,  0.0306,10:51:58.040
TPS_Auto_0518,    1.9001,    5.9583,  0.0257,10:51:58.250
TPS_Auto_0519,    1.8248,    5.9609,  0.0177,10:51:58.450
TPS_Auto_0520,    1.7540,    5.9655,  0.0090,10:51:58.650
TPS_Auto_0521,    1.6851,    5.9749,  0.0047,10:51:58.860
TPS_Auto_0522,    1.6268,    5.9890,  0.0020,10:51:59.060
TPS_Auto_0523,    1.5770,    6.0044, -0.0014,10:51:59.260
TPS_Auto_0524,    1.5335,    6.0177, -0.0027,10:51:59.460
TPS_Auto_0525,    1.5216,    6.0217,  0.0015,10:51:59.570
TPS_Auto_0526,    1.5197,    6.0242,  0.0155,10:51:59.770
TPS_Auto_0527,    1.5660,    6.0087,  0.0853,10:52:0.150
TPS_Auto_0528,    1.5805,    6.0036,  0.1037,10:52:0.280
TPS_Auto_0529,    2.3732,    6.1182, -1.1125,10:53:30.330
TPS_Auto_0530,    2.3732,    6.1182, -1.1128,10:53:31.540
TPS_Auto_0531,    2.3732,    6.1182, -1.1128,10:53:31.650
TPS_Auto_0532,    2.3732,    6.1182, -1.1128,10:53:31.860
TPS_Auto_0533,    2.3732,    6.1182, -1.1128,10:53:32.060
TPS_Auto_0534,    2.3732,    6.1182, -1.1128,10:53:32.260
TPS_Auto_0535,    2.3723,    6.1185, -1.1128,10:53:32.430
TPS_Auto_0536,    2.3700,    6.1172, -1.1129,10:53:32.550
TPS_Auto_0537,    2.3650,    6.1268, -1.1128,10:53:32.760
TPS_Auto_0538,    2.3594,    6.1419, -1.1134,10:53:32.880
TPS_Auto_0539,    2.3555,    6.1552, -1.1142,10:53:33.080
TPS_Auto_0540,    2.3507,    6.1574, -1.1118,10:53:33.280
TPS_Auto_0541,    2.3533,    6.1283, -0.9433,10:53:33.850
TPS_Auto_0542,    2.3534,    6.1101, -0.8056,10:53:34.050
TPS_Auto_0543,    2.3518,    6.0971, -0.7517,10:53:34.210
TPS_Auto_0544,    2.3488,    6.0767, -0.6479,10:53:34.390
TPS_Auto_0545,    2.3486,    6.0705, -0.5717,10:53:34.500
TPS_Auto_0546,    2.3487,    6.0668, -0.4767,10:53:34.700
